Alcatel One Touch C651;.*Alcatel\-CTH3.*
Samsung SGH-C425;.*SAMSUNG\-SGH\-C425.*
Samsung SGH-D488;.*SAMSUNG\-SGH\-D488.*
Samsung SGH-T729;.*SAMSUNG\-SGH\-T729.*
RIM BlackBerry 8320;.*BlackBerry8320.*
Nokia N76-1;.*NokiaN76\-1.*
LG E/MG230;.*LG-MG230.*
Samsung SGH-E236;.*SAMSUNG\-SGH\-E236.*
Nokia 7250;.*Nokia7250.*
Nokia N78-1;.*NokiaN78.*
Nokia N80-1;.*NokiaN80.*
Motorola V365;.*MOT\-V365.*
Motorola V535;.*MOT\-V535.*
palm Treo680;.*Palm680.*
Nokia 7373;.*Nokia7373.*
Nokia 5610;.*Nokia5610.*
Nokia N72;.*NokiaN72.*
Nokia 2680s-2b;.*Nokia2680.*
Samsung SGH-M140L;.*SAMSUNG\-SGH\-M140L.*
Nokia 6263;.*Nokia6263.*
LG E/MG800;.*LG\-MG800.*
Samsung SGH-E330N;.*SAMSUNG\-SGH\-E330N\/1\.0.*
Samsung SGH-E340;.*SAMSUNG\-SGH\-E340\/1\.0.*
Sony Ericsson K660i;.*SonyEricssonK660.*
Samsung SGH-E360;.*SAMSUNG\-SGH\-E360\/1\.0.*
Samsung SGH-E376;.*SAMSUNG\-SGH\-E376\/1\.0.*
Samsung SGH-E378;.*SAMSUNG\-SGH\-E378\/1\.0.*
LG LG-GD900;.*LG\-GD900.*
Samsung SGH-E578;.*SAMSUNG\-SGH\-E578.*
Nokia 2600c-2b;.*Nokia2600.*
Nokia 5000d-2b;.*Nokia5000.*
Samsung SGH-E700;.*SAMSUNG\-SGH\-E700.*
Samsung SGH-E730;.*SAMSUNG\-SGH\-E730.*
Samsung SGH-E800;.*SAMSUNG\-SGH\-E800.*
Samsung SGH-E808;.*SAMSUNG\-SGH\-E808.*
Nokia 5530 XpressMusic;.*Nokia5530.*
Nokia N2220s-b;.*Nokia2220.*
Samsung SGH-i530;.*SAMSUNG\-SGH\-I530.*
Sony Ericsson W980;.*SonyEricssonW980.*
Samsung SGH-P318;.*SAMSUNG\-SGH\-P318.*
Samsung SGH-P850;.*SAMSUNG\-SGH\-P850\/1\.0.*
Samsung SGH-S500;.*SAMSUNG\-SGH\-S500\/SHARK.*
Samsung SGH-T500;.*SAMSUNG\-SGH\-T500\/1\.0.*
Samsung SGH-T519;.*SAMSUNG\-SGH\-T519.*
Samsung SGH-T609;.*SAMSUNG\-SGH\-T609\/1\.0.*
Samsung SGH-T649;.*SAMSUNG\-SGH\-T649\/1\.0.*
Samsung SGH-T809;.*SAMSUNG\-SGH\-T809\ 1\.0.*
Samsung SGH-U308;.*SAMSUNG\-SGH\-U308.*
Samsung SGH-X100;.*SAMSUNG\-SGH\-X100.*
Samsung SGH-X166;.*SAMSUNG\-SGH\-X166\/1\.0.*
Nokia C3-00;.*NokiaC3.*
Samsung SGH-X300;.*SAMSUNG\-SGH\-X300\/1\.0.*
LG LG-KP15xQ;.*LG\-KP15xQ.*
Samsung SGH-X468;.*SAMSUNG\-SGH\-X468\/1\.0.*
LG LG-GM360;.*LG\-GM360.*
Samsung SGH-X490;.*SAMSUNG\-SGH\-X490\/1\.0.*
Samsung SGH-X518;.*SAMSUNG\-SGH\-X518\/RAINBOW\ 3\.0\/WAP1\.2.*
Samsung SGH-X568;.*SAMSUNG\-SGH\-X568.*
SonyEricsson W150a;.*SonyEricssonW150.*
Samsung SGH-X608;.*SAMSUNG\-SGH\-X608\/K3.*
RIM BlackBerry 9550;.*BlackBerry9550.*
LG LG-C1300;.*LG\-C1300.*
Samsung SGH-X670;.*SAMSUNG\-SGH\-X670\/1\.0.*
Samsung SGH-X708;.*SAMSUNG\-SGH\-X708\/1\.0.*
Samsung SGH-X818;.*SAMSUNG\-SGH\-X818.*
Samsung SGH-X838;.*SAMSUNG\-SGH\-X838.*
LG LG-MG170;.*LG\-MG170.*
Samsung SGH-D500;.*SAMSUNG\-SGH\-D500.*
LG LGE/TU500;.*LG\-TU500.*
Samsung SGH-D510;.*SAMSUNG\-SGH\-D510\/1\.0.*
Samsung SGH-D528;.*SAMSUNG\-SGH\-D528.*
Alcatel OT-v770;.*Alcatel\-OT\-v770.*
LG LG/KU385/v1.0;.*LG\/KU385.*
Samsung SGH-D848;.*SAMSUNG\-SGH\-D848.*
RIM BlackBerry 9300;.*BlackBerry9300.*
Samsung SGH-E108;.*SAMSUNG\-SGH\-E108\/T2.*
Samsung SGH-E256;.*SAMSUNG\-SGH\-E256\/1\.0.*
Samsung SGH-C165;.*SAMSUNG\-SGH\-C165.*
Samsung SGH-E338;.*SAMSUNG\-SGH\-E338\/1\.0.*
Samsung SGH-E350;.*SAMSUNG\-SGH\-E350.*
Samsung SGH-E356;.*SAMSUNG\-SGH\-E356\/1\.0.*
Samsung SGH-E370;.*SAMSUNG\-SGH\-E370\/1\.0.*
Samsung SGH-E380;.*SAMSUNG\-SGH\-E380\/1\.0.*
Samsung SGH-E568;.*SAMSUNG\-SGH\-E568.*
Samsung SGH-E630;.*SAMSUNG\-SGH\-E630.*
Samsung SGH-E638;.*SAMSUNG\-SGH\-E638.*
Nokia 6151;.*Nokia6151.*
Samsung SGH-E708;.*SAMSUNG\-SGH\-E708\/BSI.*
Samsung SGH-E778;.*SAMSUNG\-SGH\-E778.*
Sony Ericsson W380i;.*SonyEricssonW380.*
Samsung SGH-E830;.*SAMSUNG\-SGH\-E830.*
Motorola L7e;.*MOT\-L9.*
Samsung SGH-E890;.*SAMSUNG\-SGH\-E890.*
Nec 6206;.*LENOVO\-i919.*
Samsung SGH-A737;.*SAMSUNG\-SGH\-A737.*
Samsung SGH-C416;.*SAMSUNG\-SGH\-C416.*
Sony Ericsson X1i;.*SonyEricssonX1.*
Samsung SGH-E900;.*SEC\-SGHE900.*
Samsung SGH-P310;.*SEC\-SGHP310.*
Nokia E50-1;.*NokiaE50.*
Samsung SGH-D880;.*SAMSUNG\-SGH\-D880.*
Samsung SGH-T100;.*SAMSUNG\-SGH\-T100\/1\.0.*
Samsung SGH-T419;.*SAMSUNG\-SGH\-T419.*
Sony Ericsson Vodafone-802SE;.*V802SE.*
LG LG/KU990/v1.0;.*LG\-KU990.*
Samsung SGH-i607;.*SAMSUNG\-SGH\-I607.*
Nokia 2330c-2b;.*Nokia2330.*
Samsung SGH-T539;.*SAMSUNG\-SGH\-T539\/1\.0.*
Samsung SGH-T629;.*SAMSUNG\-SGH\-T629\/1\.0.*
Samsung SGH-T719;.*SAMSUNG\-SGH\-T719\/1\.0*.*
Sony Ericsson W595a;.*SonyEricssonW595.*
Samsung SGH-U608;.*SAMSUNG\-SGH\-U608.*
Sony Ericsson T707a;.*SonyEricssonT707.*
Samsung SGH-X108;.*SAMSUNG\-SGH\-X108\/PEARL.*
Samsung SGH-X168;.*SAMSUNG\-SGH\-X168.*
Samsung SGH-X218;.*SAMSUNG\-SGH\-X218.*
Sony Ericsson W890i;.*SonyEricssonW890.*
Samsung SGH-X576;.*SAMSUNG\-SGH\-X576.*
Samsung SGH-ZV10;.*SAMSUNG\-SGH\-ZV10.*
LG E/KG800;.*LG\-KG800.*
Pantech PG-1410;.*PG\-1410.*
Samsung SGH-U700;.*SAMSUNG\-SGH\-U700.*
LG ME970d;.*LG\-ME970.*
Samsung SGH-C130;.*SEC\-SGHC130.*
Samsung SGH-C137;.*SEC\-SGHC137.*
Samsung SGH-C140;.*SEC\-SGHC140.*
Samsung SGH-C200;.*SEC\-SGHC200.*
LG LG/KF700;.*LG\-KF700.*
Sony Ericsson W995a;.*SonyEricssonW995.*
Samsung SGH-C230;.*SEC\-SGHC230.*
Samsung SGH-C250;.*SEC\-SGHC250.*
Samsung SGH-C266;.*SEC\-SGHC266.*
Nokia 6500s;.*Nokia6500.*
Nokia 6301;.*Nokia6301.*
Samsung SGH-D108;.*SEC\-SGHD108.*
Samsung SGH-D357;.*SEC\-SGHD357.*
Sony Ericsson C902;.*SonyEricssonC902.*
Nokia 6267;.*Nokia6267.*
Samsung SGH-D418;.*SEC\-SGHD418.*
Samsung SGH-D567;.*SEC\-SGHD567.*
Samsung SGH-D730;.*SEC\-SGHD730\/1\.0.*
Samsung SGH-D806;.*SEC\-SGHD806\/1\.0\ TSS\/2\.5.*
Samsung SGH-D807;.*SEC\-SGHD807\ TSS\/2\.5.*
Samsung SGH-D836;.*SEC\-SGHD836\/1\.0.*
Samsung SGH-E710;.*SEC\-SGHE710.*
Samsung SGH-E116;.*SEC\-SGHE116.*
Samsung SGH-E310;.*SEC\-SGHE300.*
Samsung SGH-E315;.*SEC\-SGHE31.*
Samsung GT-I8510H;.*SAMSUNG\-GT\-I8510.*
Samsung SGH-E320;.*SEC\-SGHE320\/1\.0.*
Samsung SGH-E490;.*SEC\-SGHE490\/1\.0\ NetFront\/3\.2.*
Samsung SGH-E530;.*SAMSUNG\-SGH\-E530.*
Samsung SGH-E570;.*SEC\-SGHE570\/1\.0\ NetFront\/3\.2.*
Samsung SGH-E600;.*SEC\-SGHE600.*
Samsung SGH-E608;.*SEC\-SGHE608.*
LG LG-GD510;.*LG\-GD510.*
Pantech PG-3810;.*PG\-3810.*
Samsung SGH-E715;.*SEC\-SGHE715.*
Samsung SGH-E790;.*SEC\-SGHE790.*
Samsung SGH-E818;.*SEC\-SGHE818.*
Samsung SGH-E850;.*SEC\-SGHE850.*
Samsung SGH-E870;.*SEC\-SGHE870.*
HUAWEI U1005;.*Huawei\/1\.0\/U1005.*
LG LG-A133;.*LG\-A133.*
Alcatel OT-305A;.*Alcatel\-OT\-305.*
LG LG-GM205;.*LG\-GM205.*
Nokia N2700c-2;.*Nokia2700.*
Nokia N2730c-1b;.*Nokia2730.*
Samsung GT-M2510;.*SAMSUNG\-GT\-M2510.*
Samsung SGH-L760;.*SAMSUNG\-SGH\-L760.*
Samsung SGH-T229;.*SAMSUNG\-SGH\-T229.*
LG E/ME500;.*LG\-ME550.*
Motorola V555;.*MOT\-V555.*
Nokia 2760;.*Nokia2760.*
Samsung SGH-X460;.*SAMSUNG\-SGH\-X460.*
Samsung SGH-X461;.*SAMSUNG\-SGH\-X461\/1\.0.*
Samsung SGH-X486;.*SAMSUNG\-SGH\-X480.*
Samsung SGH-X481;.*SAMSUNG\-SGH\-X481\/1\.0.*
Samsung SGH-X508;.*SAMSUNG\-SGH\-X508.*
Samsung SGH-X528;.*SAMSUNG\-SGH\-X528\/NetFront\ 3\.2\/WAP2\.0.*
Samsung SGH-T319;.*SAMSUNG\-SGH\-T319.*
Samsung SGH-X600;.*SAMSUNG\-SGH\-X600.*
Samsung SGH-X620;.*SAMSUNG\-SGH\-X620\/1\.0.*
Samsung SGH-X650;.*SAMSUNG\-SGH\-X650.*
Samsung SGH-X668;.*SAMSUNG\-SGH\-X668\/TSS\ 2\.5\.0\/WAP2\.0.*
Samsung SGH-X700;.*SAMSUNG\-SGH\-X700\/1\.0.*
Samsung SGH-X808;.*SAMSUNG\-SGH\-X808.*
Samsung SGH-X828;.*SAMSUNG\-SGH\-X828\/NetFront\ 3\.2\/WAP2\.0.*
Samsung SGH-E810;.*SEC\-SGHE810.*
Samsung SGH-C110;.*SEC\-SGHC110.*
Sony Ericsson TM506;.*SonyEricssonTM506.*
Samsung SGH-Z150;.*SAMSUNG\-SGH\-Z150.*
Samsung SGH-C207;.*SEC\-SGHC207.*
Samsung SGH-C208;.*SEC\-SGHC208.*
Samsung SGH-C216;.*SEC\-SGHC216.*
Samsung M2710;.*SAMSUNG\-M2710.*
Samsung SGH-C260;.*SEC\-SGHC260.*
Samsung SGH-C300;.*SEC\-SGHC300\/1\.0.*
Samsung GT-S3370;.*SAMSUNG\-GT\-S3370.*
RIM BlackBerry 9780;.*9780.*
